>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
X11 Pixmap	image/x-xpixmap, image/x-xpmi	xpm	Yes	Yes	No	Yes	Yes
XGA	image/x-xga	xga	Yes	No	No	No	No
X Windows System dump		xwd	No	No	No	Yes	Yes
Zsoft Publisher's PC Paintbrush (PCX)	image/vnd.zbrush.pcx, image/x-pcx	pcx, ppc	Yes	Dropped	Yes	Yes	Yes


>>> adplay (AdPlug v2.3.2) - AUDIO/MUSIC (http://adplug.github.io/)
A2M: AdLib Tracker 2 by subz3ro
ADL: Westwood ADL File Format
AGD: Herbulot AdLib Gold System (HERAD) by Remi Herbulot (preliminary)
AMD: AMUSIC Adlib Tracker by Elyssis
BAM: Bob's Adlib Music Format
BMF: Easy AdLib 1.0 by The Brain
CFF: BoomTracker 4.0 by CUD
CMF: Creative Music File Format by Creative Technology
CMF: SoundFX Macs Opera tracker by Linel
D00: EdLib by Vibrants
DFM: Digital-FM by R.Verhaag
DMO: Twin TrackPlayer by TwinTeam
DRO: DOSBox Raw OPL Format
DTM: DeFy Adlib Tracker by DeFy
GOT: God Of Thunder Music by Roy Davis of Adept Software
HA2: Herbulot AdLib System v2 (HERAD) by Remi Herbulot (preliminary)
HSC: HSC Adlib Composer by Hannes Seifert, HSC-Tracker by Electronic Rats
HSP: HSC Packed by Number Six / Aegis Corp.
HSQ: Herbulot AdLib System (HERAD) by Remi Herbulot (preliminary)
IMF: Apogee IMF File Format
IMS: IMPlay Song Format
JBM: JBM Adlib Music Format
KSM: Ken Silverman's Music Format
LAA: LucasArts AdLib Audio File Format by LucasArts
LDS: LOUDNESS Sound System
  M: Origin AdLib Music Format
MAD: Mlat Adlib Tracker
MDI: AdLib MIDIPlay File Format by Ad Lib Inc.
MID: MIDI Audio File Format
MKJ: MKJamz by M \ K Productions (preliminary)
MSC: AdLib MSCplay
MTK: MPU-401 Trakker by SuBZeR0
MUS: AdLib MIDI Music Format by Ad Lib Inc.
RAD: Reality ADlib Tracker by Reality
RAW: RdosPlay RAW file format by RDOS
RIX: Softstar RIX OPL Music Format
ROL: AdLib Visual Composer by AdLib Inc.
S3M: Screamtracker 3 by Future Crew
SA2: Surprise! Adlib Tracker 2 by Surprise! Productions
SAT: Surprise! Adlib Tracker by Surprise! Productions
SCI: Sierra's AdLib Audio File Format
SDB: Herbulot AdLib System (HERAD) by Remi Herbulot (preliminary)
SNG: SNGPlay by BUGSY of OBSESSION
SNG: Faust Music Creator by FAUST
SNG: Adlib Tracker 1.0 by TJ
SOP: Note Sequencer by Lee Ho Bum (sopepos)
SQX: Herbulot AdLib System (HERAD) by Remi Herbulot (preliminary)
VGM: Video Game Music 1.51 by Valley Bell (preliminary)
XAD: eXotic ADlib Format by Riven the Mage
XMS: XMS-Tracker by MaDoKaN/E.S.G
XSM: eXtra Simple Music by Davey W Taylor


>>> ancient (June 20, 2020) - ARCHIVE (https://github.com/temisu/ancient)
CrunchMania by Thomas Schwarz
	CrM!: Crunch-Mania standard-mode
	Crm!: Crunch-Mania standard-mode, sampled
	CrM2: Crunch-Mania LZH-mode
	Crm2: Crunch-Mania LZH-mode, sampled
Disk Masher System a.k.a. DMS
	Supports all different compression methods (NONE,SIMPLE,QUICK,MEDIUM,DEEP,HEAVY1,HEAVY2)
	Supports password bypassing
File Imploder (and most of its clones)
	ATN!
	BDPI
	CHFI
	EDAM
	IMP!
	M.H.
	RDC9
	FLT! (verification missing)
	Dupa (verification missing)
	PARA (verification missing)
PowerPacker
	PP 1.1 (verification missing)
	PP 2.0
Rob Northen compressors.
	RNC1: Both old and formats utilizing the same header. heuristics for detecting the current one
	RNC2: RNC version 2 stream
Turbo Packer by Wolfgang Mayerle.
Standard gzip
Standard bzip2, both normal and randomized
Zip decompressor backend (decompressor only, no Zip file format reading yet)
	Shrink
	Reduce
	Implode
	Deflate
	Deflate64
	Bzip2
Lha/Lzh decompressor backend (decompressor only, no Lha file format reading yet)
	LH0: Null compressor
	LH1: LZRW-compressor with 4kB window
	LH2: LZRW-compressor with Dynamic Huffman Encoding (experimental)
	LH3: LZRW-compressor (experimental)
	LH4: LZRW-compressor with 4kB window
	LH5: LZRW-compressor with 8kB window
	LH6: LZRW-compressor with 32kB window
	LH7: LZRW-compressor with 64kB window
	LH8: LZRW-compressor with 64kB window (Joe Jared extension)
	LHX: LZRW-compressor with up to 512kB window (UnLHX extension)
	LZ4: Null compressor
	LZ5: LZ-compressor
	LZS: LZ-compressor
	PM0: Null compressor
	PM1: LZ-compressor
	PM2: LZ-compressor
MMCMP: Music Module Compressor
StoneCracker
	SC: StoneCracker v2.69 - v2.81
	SC: StoneCracker v2.92, v2.99
	S300: StoneCracker v3.00
	S310: StoneCracker v3.10, v3.11b
	S400: StoneCracker pre v4.00
	S401: StoneCracker v4.01
	S403: StoneCracker v4.02a
	S404: StoneCracker v4.10
XPK-encapsulated files
	ACCA: Andre's Code Compression Algorithm
	ARTM: Arithmetic encoding compressor
	BLZW: LZW-compressor
	BZP2: Bzip2 backend for XPK
	CBR0: RLE compressor
	CBR1: RLE compressor
	CRM2: CrunchMania backend for XPK
	CRMS: CrunchMania backend for XPK, sampled
	CYB2: xpkCybPrefs container
	DLTA: Delta encoding
	DUKE: NUKE with Delta encoding
	ELZX: LZX-compressor
	FAST: LZ77-compressor
	FBR2: CyberYAFA compressor
	FRHT: LZ77-compressor
	FRLE: RLE compressor
	GZIP: Deflate backend for XPK
	HUFF: Huffman modeling compressor
	HFMN: Huffman modeling compressor
	ILZR: Incremental Lempel-Ziv-Renau compressor
	IMPL: File Imploder backend for XPK
	LHLB: LZRW-compressor
	LIN1: Lino packer
	LIN2: Lino packer
	LIN3: Lino packer
	LIN4: Lino packer
	LZBS: CyberYAFA compressor
	LZCB: LZ-compressor
	LZW2: CyberYAFA compressor
